"z","time","maxtrop","replicate"
0.2,18150000,3.858726,11
0.2,18200000,3.858722,11
0.2,18250000,3.858634,11
0.2,18300000,3.856602,11
0.2,18350000,3.854166,11
0.2,18400000,3.854217,11
0.2,18450000,3.853149,11
0.2,18500000,3.578529,11
0.2,18550000,3.545518,11
0.2,18600000,3.577328,11
0.2,18650000,3.624565,11
0.2,18700000,3.593558,11
0.2,18750000,3.619534,11
0.2,18800000,3.595113,11
0.2,18850000,3.596308,11
0.2,18900000,3.584596,11
0.2,18950000,3.55265,11
0.2,1.9e+07,3.870375,11
0.2,19050000,3.847587,11
0.2,19100000,3.839305,11
0.2,19150000,3.802379,11
0.2,19200000,3.803259,11
0.2,19250000,3.805454,11
0.2,19300000,3.829416,11
0.2,19350000,3.828764,11
0.2,19400000,3.569731,11
0.2,19450000,3.643974,11
0.2,19500000,3.720086,11
0.2,19550000,3.714028,11
0.2,19600000,3.990625,11
0.2,19650000,3.965647,11
0.2,19700000,3.967625,11
0.2,19750000,3.966968,11
0.2,19800000,3.947565,11
0.2,19850000,3.939808,11
0.2,19900000,3.904039,11
0.2,19950000,3.895029,11
0.2,2e+07,3.894898,11
0.2,20050000,3.894894,11
0.2,20100000,3.893511,11
0.2,20150000,3.893194,11
0.2,20200000,3.893101,11
0.2,20250000,3.892825,11
0.2,20300000,3.892617,11
0.2,20350000,3.887277,11
0.2,20400000,3.894573,11
0.2,20450000,3.745156,11
0.2,20500000,3.700618,11
0.2,20550000,3.700756,11
0.2,20600000,3.700991,11
0.2,20650000,3.701306,11
0.2,20700000,3.70151,11
0.2,20750000,3.701576,11
0.2,20800000,3.701588,11
0.2,20850000,3.701588,11
0.2,20900000,3.701588,11
0.2,20950000,3.701588,11
0.2,2.1e+07,3.701588,11
0.2,21050000,3.701588,11
