"z","N","turnover","sd","se","ci","replicate","fit","se.fit"
1.8,2500,0.060870144561321,0.117932243513965,0.00235864487027929,0.00462509909823089,5,0.0818370586929422,0.00149763660253812
1.9,2500,0.0608586004844828,0.139295609221301,0.00278591218442603,0.00546293343873064,5,0.0848657214289132,0.00150331727733144
2,2500,0.10780084487408,0.184469061974642,0.00368938123949284,0.00723455830880879,5,0.0886302653145231,0.00154686033172631
2.1,2500,0.134478775342305,0.186439703083369,0.00372879406166738,0.0073118434527468,5,0.0929847365822687,0.00165527330952995
2.2,2500,0.0540731961124531,0.151903570582917,0.00303807141165835,0.00595739592826375,5,0.0976205089389447,0.00178967599133098
2.3,2500,0.0912945517915177,0.179078108011253,0.00358156216022505,0.00702313439646946,5,0.102159066685349,0.00188512254979835
2.4,2500,0.135921372483725,0.156624414979667,0.00313248829959335,0.00614253929967525,5,0.106276152965257,0.00191732727544606
2.5,2500,0.0620393966817496,0.120518660125194,0.00241037320250388,0.00472653389485484,5,0.109815958944561,0.00192788434996846
2.6,2500,0.06737109002109,0.143429532283298,0.00286859064566595,0.00562505876812736,5,0.112845938149459,0.00198107743361355
2.7,2500,0.132769991333056,0.204042623619391,0.00408085247238782,0.00800219962228533,5,0.11562712494755,0.00208602809057065
