"speciesType","median","n","z"
"Invader",0.319063,219,0.7
"Mutant",0.3042765,384,0.7
"Invader",0.340512,427,0.8
"Mutant",0.306564,1009,0.8
"Invader",0.331695,304,0.9
"Mutant",0.304074,690,0.9
"Invader",0.333216,269,1
"Mutant",0.3084985,904,1
"Invader",0.343176,383,1.1
"Mutant",0.307698,1223,1.1
"Invader",0.322645,84,1.2
"Mutant",0.302762,281,1.2
"Invader",0.352158,285,1.3
"Mutant",0.306006,1144,1.3
"Invader",0.339024,125,1.4
"Mutant",0.304598,473,1.4
"Invader",0.34234,185,1.5
"Mutant",0.307281,828,1.5
"Invader",0.345823,221,1.6
"Mutant",0.307017,906,1.6
"Invader",0.36259,223,1.7
"Mutant",0.307937,1575,1.7
"Invader",0.371462,281,1.8
"Mutant",0.311518,2086,1.8
"Invader",0.3563,133,1.9
"Mutant",0.309599,1049,1.9
"Invader",0.348908,119,2
"Mutant",0.305245,747,2
"Invader",0.369363,204,2.1
"Mutant",0.308949,1429,2.1
"Invader",0.340398,63,2.2
"Mutant",0.3079855,492,2.2
"Invader",0.350755,104,2.3
"Mutant",0.312986,1166,2.3
"Invader",0.3729,156,2.4
"Mutant",0.3091035,1560,2.4
"Invader",0.355786,70,2.5
"Mutant",0.310524,855,2.5
"Invader",0.352065,107,2.6
"Mutant",0.31248,982,2.6
"Invader",0.401165,133,2.7
"Mutant",0.3119625,1820,2.7
"Invader",0.4124285,242,2.8
"Mutant",0.317307,4174,2.8
"Invader",0.375293,131,2.9
"Mutant",0.310589,1716,2.9
"Invader",0.412342,161,3
"Mutant",0.3142095,3272,3
"Invader",0.349548,65,3.1
"Mutant",0.314523,1285,3.1
"Invader",0.399889,133,3.2
"Mutant",0.319316,3375,3.2
"Invader",0.3779585,132,3.3
"Mutant",0.3115575,2314,3.3
"Invader",0.382571,90,3.4
"Mutant",0.314038,2092,3.4
"Invader",0.426298,134,3.5
"Mutant",0.3173195,3470,3.5
"Invader",0.3893335,122,3.6
"Mutant",0.315131,3649,3.6
"Invader",0.381457,51,3.7
"Mutant",0.310735,1183,3.7
"Invader",0.383504,100,3.8
"Mutant",0.314877,3783,3.8
"Invader",0.433934,119,3.9
"Mutant",0.319606,4265,3.9
"Invader",0.4088565,110,4
"Mutant",0.317073,3339,4
"Invader",0.384693,129,4.1
"Mutant",0.314878,4087,4.1
"Invader",0.407825,75,4.2
"Mutant",0.32104,3097,4.2
"Invader",0.408864,80,4.3
"Mutant",0.314419,2323,4.3
"Invader",0.455394,137,4.4
"Mutant",0.32434,7417,4.4
"Invader",0.4201505,84,4.5
"Mutant",0.314517,2781,4.5
"Invader",0.394884,42,4.6
